80.0  0.99859868 0.00018603 0.00000731 0.00031334 0.00022172 0.00009099 0.00001606 0.00006305 0.00003062 0.00047220  1.00000000
80.5  0.99870708 0.00013345 0.00000479 0.00035636 0.00024085 0.00003708 0.00001899 0.00009751 0.00002555 0.00037834  1.00000000
81.0  0.99868434 0.00016181 0.00000571 0.00034849 0.00029137 0.00003117 0.00002012 0.00010604 0.00002070 0.00033024  1.00000000
81.5  0.99880372 0.00010175 0.00000386 0.00030566 0.00028968 0.00002200 0.00002421 0.00009036 0.00002496 0.00033382  1.00000000
82.0  0.99885397 0.00012049 0.00000690 0.00018197 0.00027523 0.00001391 0.00002291 0.00011693 0.00001938 0.00038831  1.00000000
82.5  0.99890145 0.00006390 0.00000732 0.00017201 0.00024403 0.00003584 0.00002139 0.00015661 0.00000919 0.00038825  1.00000000
83.0  0.99877865 0.00007261 0.00000943 0.00018916 0.00021468 0.00004456 0.00001843 0.00014295 0.00004207 0.00048746  1.00000000
83.5  0.99883029 0.00003192 0.00000833 0.00026894 0.00015868 0.00003454 0.00002152 0.00013793 0.00000173 0.00050613  1.00000000
84.0  0.99873500 0.00003193 0.00001308 0.00026148 0.00017489 0.00011793 0.00002057 0.00016446 0.00002724 0.00045344  1.00000000
84.5  0.99871131 0.00000880 0.00000823 0.00027521 0.00012877 0.00008574 0.00001392 0.00017373 0.00000294 0.00059135  1.00000000
85.0  0.99884108 0.00000670 0.00000935 0.00017727 0.00012073 0.00010017 0.00000704 0.00015448 0.00000075 0.00058243  1.00000000
85.5  0.99890345 0.00000121 0.00000244 0.00016415 0.00012580 0.00003848 0.00006835 0.00015170 0.00000726 0.00053716  1.00000000
86.0  0.99885779 0.00000235 0.00000728 0.00017207 0.00013239 0.00001427 0.00012634 0.00011416 0.00001680 0.00055653  1.00000000
86.5  0.99883916 0.00001130 0.00000181 0.00016087 0.00016160 0.00000467 0.00008151 0.00012495 0.00000208 0.00061205  1.00000000
87.0  0.99882802 0.00002341 0.00000827 0.00017154 0.00011255 0.00002395 0.00011073 0.00013743 0.00000999 0.00057410  1.00000000
87.5  0.99872494 0.00003791 0.00000286 0.00015548 0.00017902 0.00001116 0.00015380 0.00014663 0.00000967 0.00057853  1.00000000
88.0  0.99864818 0.00007111 0.00000898 0.00020161 0.00016031 0.00000716 0.00011155 0.00014599 0.00002011 0.00062500  1.00000000
88.5  0.99859188 0.00007844 0.00000242 0.00023103 0.00016811 0.00000931 0.00004287 0.00021137 0.00002745 0.00063713  1.00000000
89.0  0.99869005 0.00013271 0.00000612 0.00024929 0.00014227 0.00001908 0.00003080 0.00007967 0.00003508 0.00061494  1.00000000
89.5  0.99883815 0.00012698 0.00000324 0.00016360 0.00015556 0.00000935 0.00002581 0.00003489 0.00003334 0.00060907  1.00000000
90.0  0.99881191 0.00019853 0.00000441 0.00012639 0.00018650 0.00000667 0.00007641 0.00002946 0.00003463 0.00052510  1.00000000
